id,labels,properties
23,[Department],"{description: Các khoa chuyên môn bao gồm Giáo dục Mầm non, Giáo dục Tiểu học, Sư phạm Khoa học Xã hội, Sư phạm Khoa học Tự nhiên, Giáo dục, Nghệ thuật, Ngoại ngữ, Thư viện - Văn phòng, Khoa học Môi trường, Công nghệ Thông tin, Quản trị Kinh doanh, Tài chính - Kế toán, Văn hóa và Du lịch, Khoa học Chính trị, Toán - Ứng dụng, Điện tử - Viễn thông, Giáo dục Quốc phòng & An ninh - Giáo dục Thể chất., name: Các khoa chuyên môn}"
24,[Department],"{description: Các đơn vị trực thuộc bao gồm Viện Khoa học Dữ liệu và Trí tuệ nhân tạo, Viện Nghiên cứu Môi trường - Sức khỏe, Trung tâm Thực hành Sư phạm, Trung học Thực hành Sài Gòn, Tiểu học Thực hành Sài Gòn., name: Đơn vị trực thuộc}"
25,[Program],"{description: Chương trình đào tạo chính quy tại Trường Đại học Sài Gòn., name: Hệ chính quy}"
26,[Program],"{description: Chương trình đào tạo trình độ đại học., name: Trình độ Đại học}"
27,[Program],"{description: Chương trình đào tạo chất lượng cao tại Trường Đại học Sài Gòn., name: Chương trình chất lượng cao}"
28,[Program],"{description: Chương trình đào tạo trình độ sau đại học., name: Trình độ Sau Đại học}"
29,[Program],"{description: Chương trình đào tạo trình độ tiến sĩ., name: Trình độ Tiến sĩ}"
30,[Program],"{description: Chương trình giáo dục thường xuyên dành cho người học vừa làm vừa học., name: Giáo dục thường xuyên}"
31,[Program],"{description: Chương trình đại trà cho các ngành đào tạo đại học., name: Chương trình đại trà}"
32,[Program],"{description: Chương trình đào tạo ngành Giáo dục Chính trị - Du lịch., name: Giáo dục Chính trị - Du lịch}"
33,[Program],"{description: Chương trình đào tạo ngành Giáo dục Mầm non - Kế toán., name: Giáo dục Mầm non - Kế toán}"
34,[Program],"{description: Chương trình đào tạo ngành Giáo dục Tiểu học - Khoa học Môi trường., name: Giáo dục Tiểu học - Khoa học Môi trường}"
35,[Program],"{description: Chương trình đào tạo ngành Sư phạm Âm nhạc - Kinh doanh Quốc tế., name: Sư phạm Âm nhạc - Kinh doanh Quốc tế}"
36,[Program],"{description: Chương trình đào tạo ngành Sư phạm Địa lý - Kỹ thuật Điện., name: Sư phạm Địa lý - Kỹ thuật Điện}"
37,[Program],"{description: Chương trình đào tạo ngành Sư phạm Hóa học - Kỹ thuật Điện tử - Viễn thông., name: Sư phạm Hóa học - Kỹ thuật Điện tử - Viễn thông}"
38,[Program],"{description: Chương trình đào tạo ngành Sư phạm Khoa học Tự nhiên - Kỹ thuật Phần mềm., name: Sư phạm Khoa học Tự nhiên - Kỹ thuật Phần mềm}"
39,[Program],"{description: Chương trình đào tạo ngành Sư phạm Lịch sử - Luật., name: Sư phạm Lịch sử - Luật}"
40,[Program],"{description: Chương trình đào tạo ngành Sư phạm Lịch sử - Địa lý - Ngôn ngữ Anh., name: Sư phạm Lịch sử - Địa lý - Ngôn ngữ Anh}"
41,[Program],"{description: Chương trình đào tạo ngành Sư phạm Mỹ thuật - Quản lý Giáo dục., name: Sư phạm Mỹ thuật - Quản lý Giáo dục}"
42,[Program],"{description: Chương trình đào tạo ngành Sư phạm Ngữ Văn - Quản trị Kinh doanh., name: Sư phạm Ngữ Văn - Quản trị Kinh doanh}"
43,[Program],"{description: Chương trình đào tạo ngành Sư phạm Sinh học - Quản trị Văn phòng., name: Sư phạm Sinh học - Quản trị Văn phòng}"
44,[Program],"{description: Chương trình đào tạo ngành Sư phạm Tiếng Anh - Quốc tế học., name: Sư phạm Tiếng Anh - Quốc tế học}"
45,[Program],"{description: Chương trình đào tạo ngành Sư phạm Toán học - Tài chính - Ngân hàng., name: Sư phạm Toán học - Tài chính - Ngân hàng}"
46,[Program],"{description: Chương trình đào tạo ngành Sư phạm Vật lý - Tâm lý học., name: Sư phạm Vật lý - Tâm lý học}"
47,[Program],"{description: Chương trình đào tạo ngành CNKT Điện tử - Viễn thông - Thanh nhạc., name: CNKT Điện tử - Viễn thông - Thanh nhạc}"
48,[Program],"{description: Chương trình đào tạo ngành CNKT Điện, Điện tử - Thông tin - Thư viện., name: CNKT Điện, Điện tử - Thông tin - Thư viện}"
49,[Program],"{description: Chương trình đào tạo ngành Công nghệ Kỹ thuật Môi trường - Toán Ứng dụng., name: Công nghệ Kỹ thuật Môi trường - Toán Ứng dụng}"
50,[Program],"{description: Chương trình đào tạo ngành Công nghệ Thông tin - Việt Nam học., name: Công nghệ Thông tin - Việt Nam học}"
51,[Program],"{description: Chương trình đào tạo ngành Hóa hữu cơ - Quản trị Kinh doanh., name: Hóa hữu cơ - Quản trị Kinh doanh}"
52,[Program],"{description: Chương trình đào tạo ngành Hóa lý thuyết và Hóa lý - Tài chính – Ngân hàng., name: Hóa lý thuyết và Hóa lý - Tài chính – Ngân hàng}"
53,[Program],"{description: Chương trình đào tạo ngành Khoa học Máy tính - Toán Giải tích., name: Khoa học Máy tính - Toán Giải tích}"
54,[Program],"{description: Chương trình đào tạo ngành Lịch sử Việt Nam - Văn học Việt Nam., name: Lịch sử Việt Nam - Văn học Việt Nam}"
55,[Program],"{description: Chương trình đào tạo ngành LL & PPDH bộ môn Toán - Luật dân sự và tố tụng dân sự., name: LL & PPDH bộ môn Toán - Luật dân sự và tố tụng dân sự}"
56,[Program],"{description: Chương trình đào tạo ngành Ngôn ngữ học., name: Ngôn ngữ học}"
57,[Program],"{description: Chương trình đào tạo ngành Quản lý Giáo dục., name: Quản lý Giáo dục}"
58,[Program],"{description: Chương trình đào tạo ngành Hóa hữu cơ., name: Hóa hữu cơ}"
59,[Program],"{description: Chương trình đào tạo ngành Lịch sử Việt Nam., name: Lịch sử Việt Nam}"
60,[Program],"{description: Chương trình đào tạo ngành Quản lý Giáo dục., name: Quản lý Giáo dục}"
61,[Program],"{description: Chương trình đào tạo ngành Toán Giải tích., name: Toán Giải tích}"
62,[Program],"{description: Chương trình đào tạo ngành Quản trị Kinh doanh., name: Quản trị Kinh doanh}"
63,[Program],"{description: Đào tạo liên thông các ngành Công nghệ Thông tin, Kế toán, Quản trị Kinh doanh, Giáo dục Mầm non và Giáo dục Tiểu học., name: Đào tạo Đại học liên thông}"
64,[Program],"{description: Đào tạo văn bằng thứ hai trình độ đại học các ngành: Ngôn ngữ Anh, Kế toán, Luật, Quản trị Kinh doanh, Ngôn ngữ Anh, Giáo dục Tiểu học và Quản lý Giáo dục., name: Đào tạo văn bằng thứ hai}"
65,[Program],"{description: Đào tạo hệ đại học vừa làm vừa học (VLVH) các ngành Quản trị Kinh doanh, Tài chính - Ngân hàng, Tài chính - Kế toán, Luật, Giáo dục Tiểu học, Giáo dục Mầm non., name: Đào tạo hệ đại học vừa làm vừa học}"
66,[InternationalCooperation],"{description: Hoạt động hợp tác quốc tế tại Trường Đại học Sài Gòn bao gồm các chương trình đối ngoại và hợp tác với các trường đại học nước ngoài., name: Hợp tác quốc tế}"
67,[InternationalCooperation],"{description: Công tác đối ngoại của Trường Đại học Sài Gòn nhằm duy trì và thiết lập mối quan hệ hợp tác với các trường Đại học nước ngoài và các tổ chức quốc tế., name: Công tác đối ngoại}"
68,[InternationalCooperation],"{description: Các chương trình hợp tác quốc tế của Trường Đại học Sài Gòn tạo điều kiện cho cán bộ, giảng viên và sinh viên học tập, nghiên cứu, trao đổi khoa học với nước ngoài., name: Các chương trình hợp tác, đào tạo quốc tế}"
69,[Program],"{description: Chương trình liên kết đào tạo giữa trường Đại học Sài Gòn và trường Đại học Khoa học Ứng dụng IMC Krems (Cộng hòa Áo)., name: Chương trình Cử nhân Quốc tế Quản trị Kinh doanh và Quản lý Thương mại Điện tử}"
70,[Program],"{description: Chương trình liên kết với Hiệp hội Phát triển Kinh tế Văn hóa Giáo dục Đài Việt., name: Chương trình đào tạo tiếng Hoa}"
71,[Program],"{description: Học bổng toàn phần chương trình đào tạo Trợ lý bác sĩ với trị giá SGD 120,000 từ Tập đoàn Y tế Quốc gia (MOHH)., name: Học bổng toàn phần của Bộ Y tế Singapore}"
72,[Program],"{description: Học bổng Cử nhân hệ chính quy, vừa học vừa làm đối với các Khối ngành Kinh tế, Thương mại, Thực phẩm, Dịch vụ, Công nghệ Thông tin, Kỹ thuật., name: Học bổng của Bộ Giáo dục Đài Loan}"
73,[Program],"{description: Ký kết hợp tác và xây dựng chương trình chuyển tiếp các ngành Công nghệ thông tin, Ngôn ngữ Anh, Sư phạm Anh, Quản trị kinh doanh, Tài chính - Ngân hàng thuộc Đại học Huddersfiled., name: Chương trình liên kết đào tạo khác}"
74,[Research],"{description: Sinh viên tham gia thực hiện đề tài NCKH trong thời gian từ 06 – 09 tháng dưới sự hướng dẫn của Giảng viên., name: Đề tài Nghiên cứu khoa học cấp cơ sở}"
75,[Research],"{description: Sinh viên có đề tài NCKH đạt yêu cầu sẽ được hỗ trợ kinh phí, cộng điểm rèn luyện và cấp giấy chứng nhận NCKH., name: Quyền lợi sinh viên NCKH}"
76,[Research],"{description: Sinh viên có bài báo đăng trên các Tạp chí chuyên ngành hoặc báo cáo khoa học sẽ được xét thưởng kinh phí và cộng điểm rèn luyện., name: Bài báo Khoa học và báo cáo tham luận}"
77,[Journal],"{description: Tạp chí Khoa học Đại học Sài Gòn phục vụ cán bộ giảng dạy, nghiên cứu, quản lý, sinh viên các trường đại học, cao đẳng, các viện, học viện, các trung tâm nghiên cứu., name: Tạp chí Khoa học Đại học Sài Gòn}"
78,[Journal],"{description: Là diễn đàn khoa học công bố các kết quả nghiên cứu và hoạt động khoa học của cán bộ, giảng viên trường Đại học Sài Gòn., name: Tôn chỉ, mục đích hoạt động}"
79,[Journal],"{description: Các bài báo phải nêu rõ mục tiêu nghiên cứu, có kết quả mới, được phản biện và có danh mục chú thích và tài liệu tham khảo., name: Quy định chung về bài báo khoa học}"
80,[Journal],"{description: Bài gửi đăng phải là công trình khoa học, chưa từng công bố trong ấn phẩm khác, được viết bằng tiếng Việt hoặc tiếng Anh., name: Thể lệ gửi bài đăng}"
